,Karisuma 14,SMASHADELPHIA 2017,ALPHA,Midwest Mayhem 9,Umebura 27,UNLOCKED,Albion 2,TGL Presents: Divided,2GGC: Arms Saga,Evo 2017,DreamHack Atlanta 2017,Get On My Level 2017,IGX - International Gaming Expo,Low Tier City 5,Smash Factor 6,Sumabato 19,Umebura 28,Super Smash Con 2017,2GGC: SCR Saga,Dubai Dojo 2,Shine 2017,PAX Arena at PAX West 2017,2GGC: West Side Saga,DreamHack Montreal 2017,Showdown: Battle Royale 2,Sumabato 20,Syndicate 2017,GameTyrant Expo 2017,The Big House 7,2GGC: Fire Emblem Saga,Sumabato 21,DreamHack Denver 2017,Who's Your Pappy #10,Umebura 29,Canada Cup 2017,Clutch City Clash 2,TGL & PG Present: Too Hot to Handle,2GGC: MkLeo Saga,GatorLAN Fall 2017,Port Priority 2: Midwest Invasion,IBP Masters Showdown,Sumabato 22,Umebura 30,Super FamiCon 2017,Tech Republic III,Midwest Mayhem 10,Rikabura 8,2GGC: Last Chance Qualifier,2GG Championship
Aarvark,,,,,,,,,17th,,,,,,,,,49th,33rd,,,,17th,,,,,,,,,,,,,,,49th,,,9th,,,,,,,,
YOC,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,
Phuzix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,,,,,,,
Mr. Riddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,
Sigma,,,,,,,,,,,,,,,,,,,,,,,,,,4th,,,,,,,,,,,,,,,,1st,,,,,,,
Chag,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANG!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,
Ralphie,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,33rd,,,,,,,,,13th,,,,,,,,,9th,,,
Sinji,,,,,,,,,,,17th,,,,,,,25th,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
Es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,
THUNDER,,,,,,,,,,,,13th,,,,,,17th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light The Lantern,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VaLoR,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,33rd,,,,,,,,,,,,,,,,,,,,,
bAhuto,,,,,9th,,,,,,,,,,,,5th,,,,,,,,,,,,,,,,,,,,,,,,,,4th,,,,,,
Harlock,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Bkr l Blacktwins13,,,,,,,,,,,,7th,,,,,,33rd,,,33rd,,,,,,,,25th,,,,,,9th,,,,,,,,,,,,,,
Kuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,
SeP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BigLou,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonix,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1HKami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,
Kishiru,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tael1996,,,,,,,,,,,,,,,5th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt One,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xzax,,,,,,,,,25th,25th,,,,,,,,,,,,,,,,,,33rd,25th,33rd,,,,,,,,33rd,,,9th,,,,,,,,
Pichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,
BlackDynoWright,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
Rickles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,
Mumei,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NameLess,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
Kie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,
Seagull Joe,,,,,,,,,,49th,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonf,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craftis,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omegaspike,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cashmere,,,,,,7th,,,,,,,,,,,,17th,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,
John Numbers,,,3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucretio,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matikitu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sim-Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,
Pow,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,
Chez,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoNg0uw,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,3rd,,,,
TLOrEo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
Zex,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Nishiya,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,
Selcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd,,,,,,,,,,,3rd,,,,,,,
Rideae,,,,,,,,7th,,,33rd,,,,,,,17th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortas FC,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skylar,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,
Deathorse,,,,,,,,,,,,13th,,,,,,,,,,,,9th,,,,,,,,,,,7th,,,,,,,,,,,,,,
iStudying,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,,,,,,,,,,,,,,,4th,,,,
Fye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,
KOSSismoss,,,,,,,,,,,,,,,,,,,,,,11th,,,,,,,,,,,,,,,,,,3rd,,,,,,,,,
Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd,,,,,,,,,,
Angel Cortes,,,5th,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymas,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,49th,,,,,,,,,,,,,,,,,,,
Ri-ma,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaki,,,,,,,,,,,,,,,,5th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunkmaster Ragna,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunarosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtoBanham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,
Pugwest,,,,,,,,,,49th,,,,,,,,,,,33rd,,,,,,,,33rd,33rd,,,,,,,,,,,,,,,,,,,
Vermillion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Jabe,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJROCKETS,,,,,,,,,,,,,,,,,,25th,,,,,,,13th,,,33rd,,,,,,,,,,,,5th,,,,,,,,,
Xyro,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetsTickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,
Venom,,,,,,,,,,,,,,,,,,,17th,,25th,,,7th,,,,,,,,,,,5th,,,,,,,,,,,,,,
Draxsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
Masha,4th,,,,,,,,,,,,,,,5th,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,
wusi,,,,,,,7th,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,
RED9,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGman,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aMSa,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
LuxDre,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
MF Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
OwlBBs,,,,,,,5th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Songn,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomlion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Poyo,,,,,,,,,,,49th,,,,,,,,,,49th,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
Speclar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Eon,,,,,,,,,25th,33rd,,,,,,,,,49th,,,,25th,,,,,,,17th,,,7th,,,,,33rd,,,9th,,,,,,,3rd,
Smokk,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,
Zan,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mute Ace,,,,,,7th,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMehr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,
Ateozc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,
Mekos,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,9th,,,,,
IceArrow,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afro Smash,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiK,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,
Calculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,
Maiko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,
KDK,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,,,,,,,
Kiosk,,,,,,,,,,,,,,,,4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Dr.DORF,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen,,,,,,,,,,,,,,,,,,,17th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fhyr Rain,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,49th,,,,,,,,,,,
Zage,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freakzoid9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
Razo,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,17th,,,,,,,,33rd,,,,,,,,,,5th,
Bedgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Kumai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducky,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cali,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tengu,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,
Scizor,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,
Saiki,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:^),,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Koopa,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoh,,,,,,,,,,,,9th,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,
V115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,
Edwin,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,
LingLing,,,4th,,,,,,,25th,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeti,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,
takera,,,,,5th,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,
Chuck Nasty,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keitaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
Dark Wizzy,,,,,,,,,,,,,,,,,,49th,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaminabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,
Shade,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8Bitman/8BitMan,,,,,,,,5th,,49th,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,13th,,,,,,,,,,,,
Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,
TLTC,,,,,,,,,,33rd,,,,,,,,,33rd,,,,25th,,,,,,,33rd,,,,,,,,,,,,,,,,,,,
Parme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,
Sol,,,,,,,,,25th,,,,5th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PiXL,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,17th,,,,,,,,,,49th,,,,,,,,,,,
Chrim Foish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,13th,,,,,,,,,,,,,,
Glutonny,,,,,,,1st,,,,,,,,,,,,,,,,,,,,3rd,,,,,,,,,,,,,,,,,,,,,,
Envoid,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,
LG.Abadango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,
Shogun,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,9th,,,,,,,,7th,,,,,,,
RoguePenguin,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazh,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
Donquavious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,
Purple~H,,,,,,,9th,,,,,,,,,,,,,,,,,,,,5th,,,,,,,,,,,,,,,,,,,,,,
LordMix,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skorpio,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,
SilentDoom,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandstorm,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deluxemenu,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Eim,,,,,,,,,17th,,,,,,,,,,,,,,,,,,,,,,,,,3rd,,,,,,,,,13th,,,,,,
El_Pitikla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,
iModerz,,,,,,,,,,,,13th,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,
pu55yk1ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,17th,,,,,,,,
Shoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,
DiZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,,
Dainosuke,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cilvanis,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
Apa~,,,,,,,,,,,,,,,,,,,,,,,17th,,,,,,,,,,,,,,,,,,,,,,,,,,
Googs,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
Lea,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,,,
BestNess,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,33rd,33rd,,,,,,,,,,,,,,,,,,,,
Doctor B,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,,,,,,,
Len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,
Frozen,,,7th,,,,,,,,,,,,,,,49th,,,,,,,,,,,49th,33rd,,,,,,,,,,,,,,,,,,,
iDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,
MattyG,,,,,,,,,,,,,,,,,,13th,,,17th,,,,,,,,17th,,,,,,,,7th,,,,,,,7th,,,,,
Death Arcana,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
Earthboundy,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NickRiddle,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron,,,,,,,,,,,,,,,,,,,,7th,,,,,,2nd,,,,,,,,,,,,,,,,,,,,,,,
ARMY,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rox,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,
Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
LF/Chaplin,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCJacobT,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,
Twi,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
Meteor,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,33rd,,,,,,,,33rd,,,,,,,,,,,
MrConCon,,,,,,,,,25th,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,33rd,,,7th,,,,,,,,
Captain Levi,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,
saj.,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st,,,,,,,,,,
IcyMist,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koolaid,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyve,,,,,,,2nd,,,,,,,,,,,,,,,,,,,,4th,,,,,,,,,,,,,,,,,,,,,,
Regulating_Mofo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,
Ramses,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taternator,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiotLettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,
Waldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,
Suinoko,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xion,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,,,,,,,,,,49th,,,,,,,,,33rd,,,,,,,,,33rd,,,,,,,,,,,,,17th,,,,,,,,
Kisha,3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puppeh,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tea,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big_mak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,
Xaltis,,,,,,,,,,49th,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tachyon,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryo,,,,,,,,,,,,,2nd,,,,,,,,,,,,,,,,,25th,,,,,,,,,3rd,,,,,,,,,,
Ty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karna,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,7th,,,,5th,,,,,,,,,,,,,
Strike,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystearica,,,,7th,,,,,,,33rd,,,,,,,,,,,,,,,,,,,17th,,,,,,,,,,,,,,,,,,,
The Great Gonzales,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adom,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,
Detta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,
Mao,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,13th,,,,,,,,,13th,,,,7th,,
Trevonte,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peabnut,,,,,,,,,,,13th,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,
RFang,,,,,,,,,,,25th,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,
Kiddykong,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,
OBA,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKHo,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,2nd,,,,
Mangalitza?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st,,,,,,,,,,,,,,,,,,
ARJAY!!!,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,
Raffi-X,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
